LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
65;Downtown Brooklyn/MetroTech;40.69368060000001;-73.9872333;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
66;DUMBO/Vinegar Hill;40.70332149;-73.981116035;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
67;Dyker Heights;40.61921945772264;-74.01931375636022;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
68;East Chelsea;40.744034706;-74.003116334;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
69;East Concourse/Concourse Village;40.8247804908;-73.9158465275;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
70;East Elmhurst;40.7640732388309;-73.86704147658772;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
71;East Flatbush/Farragut;40.6363258902;-73.958401065;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
72;East Flatbush/Remsen Village;40.63632589;-73.95840106;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
73;East Flushing;40.764454195999996;-73.831773003;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
74;East Harlem North;40.792249466;-73.944182231;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
75;East Harlem South;40.793249466;-73.944182231;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
76;East New York;40.669925700847045;-73.88069863917366;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
77;East New York/Pennsylvania Avenue;40.668925705;-73.88079863917366;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
78;East Tremont;40.84269615786053;-73.88735617532338;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
79;East Village;40.727846777270244;-73.98222616506415;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
80;East Williamsburg;40.70849241041548;-73.93885815269195;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
81;Eastchester;40.887555677350775;-73.82780644716412;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
82;Elmhurst;40.744048505122024;-73.88165622288388;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
83;Elmhurst/Maspeth;40.725427374;-73.896217136;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
84;Eltingville/Annadale/Prince's Bay;40.5422307474;-74.164330804;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
85;Erasmus;40.64692606658579;-73.94817709920184;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
86;Far Rockaway;40.603134432500894;-73.75497968043872;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
87;Financial District North;40.707107107;-74.010665445;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
88;Financial District South;40.715107107;-74.010665445;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
89;Flatbush/Ditmas Park;40.64367518334;-73.9610131246;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
90;Flatiron;40.73967304763842;-73.99094710528259;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
91;Flatlands;40.630446043757466;-73.92911302644673;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
92;Flushing;40.76445419697846;-73.83177300329581;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
93;Flushing Meadows-Corona Park;40.739715999999994;-73.84078199999999;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
